OrderID,OrderDate,BranchID,Country,City,CustomerID,ProductID,ProductCategory,ProductName,Brand,Quantity,UnitPrice,DiscountRate,TaxRate,TotalAmount,PaymentMethod,SalesChannel,EmployeeID,WarrantyYears,ReturnFlag,ShipmentMode,DeliveryDays,Currency
ORD125001,28-07-2023,BR50,UK,London,CUST4026,PROD760,Mobile,iPhone 14,Dell,4,269.04,0.22,0.18,990.5,Net Banking,Online,EMP253,2,1,Standard,4,EUR
ORD125002,01-05-2023,BR28,India,Bangalore,CUST7671,PROD930,Laptop,Dell XPS 13,Lenovo,4,1009.56,0.09,0.18,4336.26,UPI,Online,EMP648,2,1,Express,10,AED
ORD125003,18-06-2023,BR81,UAE,Abu Dhabi,CUST5264,PROD794,Mobile,OnePlus 11,LG,1,1438.11,0.1,0.18,1527.27,UPI,In-Store,EMP285,3,0,Standard,2,AED
ORD125004,23-03-2023,BR52,Germany,Berlin,CUST3177,PROD623,Accessories,Bluetooth Headphones,Dell,5,1421.06,0.13,0.18,7294.3,Credit Card,Online,EMP416,0,1,Standard,9,AED
ORD125005,05-10-2024,BR120,USA,Dallas,CUST6058,PROD405,Mobile,Samsung Galaxy S23,Apple,3,1235.78,0.15,0.18,3718.46,Net Banking,Online,EMP835,1,0,Same Day,8,USD
ORD125006,28-10-2024,BR110,USA,Dallas,CUST8150,PROD702,Mobile,iPhone 14,Apple,4,946.46,0.1,0.18,4020.56,UPI,Online,EMP302,1,1,Same Day,1,EUR
ORD125007,11-11-2024,BR15,USA,New York,CUST5924,PROD882,Tablet,Samsung Galaxy Tab,LG,1,421.25,0.04,0.18,477.19,UPI,Online,EMP726,3,0,Express,9,INR
ORD125008,23-10-2023,BR7,UAE,Dubai,CUST6545,PROD901,TV,Sony Bravia 55,LG,3,1075.58,0.21,0.18,3007.97,UPI,Online,EMP607,0,1,Express,5,AED
ORD125009,19-07-2023,BR59,Germany,Munich,CUST5836,PROD198,Tablet,Samsung Galaxy Tab,Sony,4,777.9,0.21,0.18,2900.63,Debit Card,Online,EMP762,2,0,Standard,8,USD
ORD125010,17-04-2024,BR45,USA,New York,CUST4197,PROD523,Accessories,Keyboard,Sony,5,1004.55,0,0.18,5926.85,Cash,In-Store,EMP426,0,0,Same Day,2,EUR
ORD125011,28-04-2024,BR60,UK,Manchester,CUST8801,PROD893,TV,LG OLED 48,HP,5,1769.86,0.02,0.18,10233.33,Debit Card,In-Store,EMP810,1,0,Express,6,GBP
ORD125012,10-06-2023,BR12,India,Pune,CUST6666,PROD384,Mobile,iPhone 14,HP,5,1791.7,0.18,0.18,8668.24,UPI,In-Store,EMP925,1,0,Same Day,5,EUR
ORD125013,25-04-2023,BR72,UAE,Abu Dhabi,CUST8802,PROD269,TV,Sony Bravia 55,Apple,1,1959.32,0.12,0.18,2034.56,Debit Card,In-Store,EMP452,2,1,Express,10,USD
ORD125014,25-06-2024,BR29,USA,Chicago,CUST9666,PROD482,TV,Sony Bravia 55,Samsung,2,791.71,0.19,0.18,1513.43,Net Banking,In-Store,EMP269,1,1,Standard,10,EUR
ORD125015,24-10-2024,BR24,UAE,Dubai,CUST8068,PROD553,Tablet,Samsung Galaxy Tab,Sony,5,418.03,0.24,0.18,1874.45,Cash,Online,EMP919,1,0,Standard,6,AED
ORD125016,22-01-2023,BR38,UK,London,CUST5661,PROD590,Accessories,Bluetooth Headphones,Dell,2,1209.94,0.17,0.18,2370.03,Net Banking,Online,EMP279,3,0,Express,3,USD
ORD125017,20-08-2023,BR72,USA,Chicago,CUST6280,PROD779,Tablet,Samsung Galaxy Tab,Dell,3,97.07,0.09,0.18,312.7,Credit Card,Online,EMP275,0,0,Express,4,AED
ORD125018,04-08-2023,BR33,UAE,Abu Dhabi,CUST4211,PROD311,Laptop,MacBook Air M2,Dell,3,672.54,0.07,0.18,2214.14,Credit Card,In-Store,EMP488,0,1,Express,5,EUR
ORD125019,01-06-2023,BR64,India,Bangalore,CUST2339,PROD734,Accessories,Bluetooth Headphones,Lenovo,4,1153.92,0.14,0.18,4683.99,Cash,Online,EMP557,1,0,Same Day,7,AED
ORD125020,06-03-2024,BR4,UK,Manchester,CUST2636,PROD896,Tablet,Lenovo Tab P11,Samsung,1,561.05,0.22,0.18,516.39,UPI,In-Store,EMP795,3,1,Same Day,8,AED
ORD125021,21-12-2024,BR80,India,Pune,CUST1722,PROD895,Laptop,Dell XPS 13,Lenovo,1,619.05,0.1,0.18,657.43,Cash,In-Store,EMP227,1,0,Express,2,INR
ORD125022,25-12-2023,BR48,USA,Chicago,CUST2347,PROD579,Mobile,OnePlus 11,Samsung,1,1251.34,0.25,0.18,1107.44,Net Banking,In-Store,EMP410,3,0,Same Day,9,GBP
ORD125023,06-03-2024,BR106,UK,London,CUST6538,PROD840,Laptop,MacBook Air M2,Samsung,4,1760.73,0.17,0.18,6897.84,Credit Card,Online,EMP496,3,0,Standard,2,EUR
ORD125024,30-11-2023,BR69,Germany,Hamburg,CUST5285,PROD951,TV,Sony Bravia 55,LG,3,1211.23,0.02,0.18,4202,Debit Card,Online,EMP761,2,1,Same Day,3,AED
ORD125025,21-10-2023,BR91,India,Mumbai,CUST2878,PROD559,TV,Samsung QLED 50,OnePlus,1,414.11,0.26,0.18,361.6,UPI,Online,EMP528,1,1,Express,6,USD
ORD125026,08-05-2024,BR53,India,Pune,CUST6624,PROD765,TV,Sony Bravia 55,HP,5,425.13,0.09,0.18,2282.52,Net Banking,In-Store,EMP222,2,1,Standard,3,EUR
ORD125027,26-03-2023,BR100,UK,Manchester,CUST1230,PROD768,Laptop,Dell XPS 13,LG,5,991.27,0.2,0.18,4678.79,Net Banking,Online,EMP547,3,0,Standard,7,AED
ORD125028,20-05-2023,BR82,UAE,Dubai,CUST3417,PROD411,Laptop,MacBook Air M2,Lenovo,1,274.88,0.02,0.18,317.87,Net Banking,Online,EMP778,0,0,Express,7,EUR
ORD125029,16-12-2023,BR109,Germany,Munich,CUST5388,PROD583,Accessories,Bluetooth Headphones,Dell,2,759.84,0.18,0.18,1470.44,Debit Card,Online,EMP710,1,0,Same Day,6,EUR
ORD125030,15-08-2024,BR78,UK,London,CUST1421,PROD942,Mobile,Samsung Galaxy S23,LG,2,1686.23,0.11,0.18,3541.76,Net Banking,Online,EMP531,0,0,Standard,4,USD
ORD125031,16-07-2024,BR32,India,Mumbai,CUST8743,PROD539,Tablet,Samsung Galaxy Tab,OnePlus,4,1539.28,0.29,0.18,5158.44,UPI,In-Store,EMP692,1,1,Standard,2,AED
ORD125032,28-02-2023,BR15,USA,Los Angeles,CUST4744,PROD834,Mobile,iPhone 14,OnePlus,2,1879.01,0.07,0.18,4124.05,Credit Card,Online,EMP504,3,0,Standard,3,GBP
ORD125033,02-11-2023,BR59,Germany,Berlin,CUST1901,PROD196,TV,Sony Bravia 55,Apple,1,478.44,0.14,0.18,485.52,Credit Card,Online,EMP468,2,0,Express,9,INR
ORD125034,03-01-2024,BR74,Germany,Hamburg,CUST9399,PROD791,Mobile,OnePlus 11,Dell,5,1685.3,0.25,0.18,7457.45,Cash,Online,EMP864,1,0,Same Day,8,EUR
ORD125035,08-06-2023,BR1,India,Pune,CUST8002,PROD760,Mobile,Samsung Galaxy S23,HP,4,862.63,0.17,0.18,3379.44,Cash,In-Store,EMP937,3,0,Same Day,10,INR
ORD125036,04-06-2023,BR70,UK,Birmingham,CUST3689,PROD275,TV,Samsung QLED 50,Apple,4,306.89,0.19,0.18,1173.3,UPI,In-Store,EMP305,2,1,Standard,2,EUR
ORD125037,06-10-2023,BR44,Germany,Berlin,CUST8174,PROD401,Tablet,Lenovo Tab P11,Samsung,4,1875.14,0.29,0.18,6283.97,Credit Card,In-Store,EMP594,2,0,Express,2,INR
ORD125038,26-08-2023,BR9,Germany,Hamburg,CUST9977,PROD729,Accessories,Bluetooth Headphones,Dell,4,1301.33,0.07,0.18,5712.32,UPI,Online,EMP235,1,0,Express,5,EUR
ORD125039,15-04-2023,BR92,USA,Dallas,CUST1622,PROD383,Mobile,OnePlus 11,Samsung,4,414.46,0.16,0.18,1643.25,Debit Card,Online,EMP669,0,1,Standard,3,USD
ORD125040,18-01-2024,BR18,India,Mumbai,CUST8354,PROD106,Accessories,Wireless Mouse,Lenovo,4,1005.35,0.25,0.18,3558.94,Cash,In-Store,EMP259,3,0,Standard,9,GBP
ORD125041,24-06-2024,BR43,India,Pune,CUST6305,PROD821,Accessories,Wireless Mouse,HP,5,1263.76,0.21,0.18,5890.39,Net Banking,Online,EMP408,0,1,Same Day,10,GBP
ORD125042,10-11-2023,BR93,Germany,Munich,CUST9638,PROD549,Accessories,Bluetooth Headphones,Dell,2,192.44,0.06,0.18,426.91,Cash,In-Store,EMP432,1,0,Express,9,INR
ORD125043,07-12-2024,BR52,India,Mumbai,CUST9518,PROD334,TV,Samsung QLED 50,Lenovo,1,1100.28,0.16,0.18,1090.6,Credit Card,Online,EMP762,0,0,Standard,5,EUR
ORD125044,05-09-2023,BR90,USA,Los Angeles,CUST5905,PROD566,TV,Samsung QLED 50,Dell,1,1438.27,0.18,0.18,1391.67,Debit Card,Online,EMP957,3,0,Express,10,INR
ORD125045,16-02-2024,BR32,India,Pune,CUST2736,PROD387,Tablet,iPad Air,Samsung,4,1030.42,0.19,0.18,3939.5,Debit Card,In-Store,EMP645,0,0,Same Day,6,EUR
ORD125046,08-10-2024,BR55,USA,Los Angeles,CUST8553,PROD675,TV,Samsung QLED 50,LG,4,1920.78,0.14,0.18,7796.83,Net Banking,Online,EMP701,3,1,Express,7,USD
ORD125047,30-07-2023,BR83,USA,New York,CUST5933,PROD951,Tablet,iPad Air,Sony,4,1540.75,0.02,0.18,7126.89,Net Banking,Online,EMP285,1,1,Standard,2,USD
ORD125048,29-06-2024,BR106,UK,London,CUST9701,PROD405,Tablet,iPad Air,OnePlus,2,1297.53,0.29,0.18,2174.14,Debit Card,Online,EMP269,0,0,Express,5,EUR
ORD125049,12-08-2023,BR80,Germany,Hamburg,CUST6509,PROD850,Tablet,iPad Air,Sony,2,1175.91,0.01,0.18,2747.4,Net Banking,Online,EMP671,0,0,Express,1,EUR
ORD125050,26-02-2024,BR1,USA,Dallas,CUST8601,PROD324,Laptop,MacBook Air M2,Dell,4,813.31,0.24,0.18,2917.51,Net Banking,Online,EMP782,1,1,Same Day,4,GBP
ORD125051,05-08-2024,BR75,Germany,Hamburg,CUST1667,PROD642,Mobile,iPhone 14,Samsung,5,955.67,0.19,0.18,4567.15,Cash,In-Store,EMP360,0,1,Same Day,2,EUR
ORD125052,13-07-2023,BR113,UAE,Dubai,CUST3419,PROD585,Mobile,OnePlus 11,Sony,2,1157.36,0.09,0.18,2485.55,Net Banking,In-Store,EMP870,3,0,Standard,8,AED
ORD125053,06-09-2023,BR8,UK,Birmingham,CUST2211,PROD697,Accessories,Wireless Mouse,Lenovo,5,668.46,0.06,0.18,3707.28,Net Banking,In-Store,EMP326,0,1,Standard,4,USD
ORD125054,15-03-2023,BR103,USA,New York,CUST8169,PROD100,Mobile,Samsung Galaxy S23,Dell,1,386.51,0.27,0.18,332.94,UPI,Online,EMP283,2,1,Standard,8,GBP
ORD125055,28-06-2024,BR40,USA,Dallas,CUST9960,PROD765,Accessories,Bluetooth Headphones,LG,3,1789.54,0.22,0.18,4941.28,Debit Card,Online,EMP892,0,1,Same Day,8,INR
ORD125056,11-02-2024,BR64,UK,London,CUST4629,PROD875,Mobile,Samsung Galaxy S23,OnePlus,4,183.07,0.19,0.18,699.91,Net Banking,Online,EMP569,3,0,Standard,5,GBP
ORD125057,24-12-2023,BR44,Germany,Hamburg,CUST7562,PROD240,TV,LG OLED 48,Sony,1,402.1,0.25,0.18,355.86,UPI,Online,EMP607,0,0,Same Day,1,GBP
ORD125058,22-05-2023,BR85,USA,Dallas,CUST5370,PROD800,TV,LG OLED 48,OnePlus,4,311.68,0.24,0.18,1118.06,Net Banking,In-Store,EMP412,1,1,Express,1,USD
ORD125059,30-08-2023,BR96,Germany,Berlin,CUST8681,PROD866,Tablet,iPad Air,Apple,3,1320.15,0.04,0.18,4486.4,Credit Card,In-Store,EMP883,0,1,Express,10,USD
ORD125060,30-04-2024,BR39,India,Mumbai,CUST2892,PROD305,Tablet,iPad Air,OnePlus,4,873.18,0.27,0.18,3008.63,Credit Card,In-Store,EMP426,3,1,Express,3,INR
