OrderID,OrderDate,BranchID,Country,City,CustomerID,ProductID,ProductCategory,ProductName,Brand,Quantity,UnitPrice,DiscountRate,TaxRate,TotalAmount,PaymentMethod,SalesChannel,EmployeeID,WarrantyYears,ReturnFlag,ShipmentMode,DeliveryDays,Currency
ORD135001,04-01-2023,BR110,India,Pune,CUST6822,PROD150,Mobile,Samsung Galaxy S23,HP,5,1347.43,0.25,0.18,5962.38,Debit Card,In-Store,EMP954,2,1,Standard,3,USD
ORD135002,10-11-2024,BR90,UK,London,CUST8643,PROD753,Laptop,HP Spectre x360,Lenovo,2,472.63,0.09,0.18,1015.02,Cash,Online,EMP291,3,1,Standard,4,EUR
ORD135003,09-05-2023,BR110,UK,London,CUST3637,PROD857,Mobile,iPhone 14,Dell,1,1724.56,0.1,0.18,1831.48,Debit Card,Online,EMP365,1,0,Same Day,8,USD
ORD135004,21-01-2024,BR86,Germany,Hamburg,CUST2738,PROD383,Laptop,MacBook Air M2,Samsung,1,746.97,0.04,0.18,846.17,Cash,In-Store,EMP990,2,0,Express,7,INR
ORD135005,23-12-2023,BR50,UK,London,CUST2134,PROD923,Tablet,iPad Air,Apple,5,600.09,0.23,0.18,2726.21,UPI,In-Store,EMP214,0,0,Same Day,7,USD
ORD135006,09-09-2024,BR39,India,Pune,CUST7913,PROD971,Accessories,Keyboard,OnePlus,4,1501.17,0.22,0.18,5526.71,Net Banking,Online,EMP462,3,1,Standard,4,USD
ORD135007,28-02-2023,BR19,Germany,Munich,CUST4763,PROD950,TV,LG OLED 48,Dell,5,1495.55,0.2,0.18,7059,Debit Card,Online,EMP227,3,1,Same Day,6,EUR
ORD135008,22-02-2024,BR90,Germany,Berlin,CUST5881,PROD387,Accessories,Bluetooth Headphones,Sony,4,402.36,0.27,0.18,1386.37,Credit Card,In-Store,EMP538,3,1,Express,2,INR
ORD135009,12-01-2024,BR84,USA,New York,CUST4443,PROD437,Accessories,Bluetooth Headphones,HP,5,1921.6,0.09,0.18,10317.07,Credit Card,Online,EMP811,3,1,Standard,5,USD
ORD135010,17-06-2023,BR69,India,Bangalore,CUST8787,PROD448,Laptop,HP Spectre x360,Dell,5,1437.04,0.12,0.18,7461.11,Credit Card,Online,EMP878,2,1,Express,9,AED
ORD135011,21-02-2023,BR74,USA,Chicago,CUST7192,PROD434,Laptop,Dell XPS 13,LG,3,273.69,0,0.18,968.86,Debit Card,Online,EMP488,1,1,Express,10,GBP
ORD135012,30-03-2023,BR59,USA,Los Angeles,CUST7628,PROD742,Accessories,Wireless Mouse,Sony,2,734.61,0.3,0.18,1213.58,Net Banking,In-Store,EMP500,1,0,Same Day,4,USD
ORD135013,12-06-2024,BR47,UAE,Dubai,CUST3179,PROD860,Mobile,OnePlus 11,Samsung,5,693.76,0.06,0.18,3847.59,Net Banking,In-Store,EMP787,3,0,Same Day,4,AED
ORD135014,08-02-2024,BR18,UK,Birmingham,CUST5398,PROD368,Accessories,Bluetooth Headphones,Sony,5,254.69,0.21,0.18,1187.11,Credit Card,In-Store,EMP941,2,1,Same Day,5,USD
ORD135015,09-06-2023,BR22,USA,New York,CUST7976,PROD814,Accessories,Wireless Mouse,Sony,5,129.02,0.03,0.18,738.38,Cash,Online,EMP449,1,1,Standard,4,EUR
ORD135016,08-12-2023,BR33,UK,Manchester,CUST4366,PROD672,Laptop,MacBook Air M2,Dell,1,512.14,0.19,0.18,489.5,UPI,In-Store,EMP588,0,1,Same Day,1,EUR
ORD135017,18-02-2024,BR80,Germany,Munich,CUST4843,PROD408,Accessories,Bluetooth Headphones,Samsung,1,1720.12,0.26,0.18,1502.01,Credit Card,In-Store,EMP472,0,1,Same Day,7,INR
ORD135018,26-04-2023,BR82,Germany,Berlin,CUST7685,PROD525,Mobile,Samsung Galaxy S23,Dell,3,1149.96,0.12,0.18,3582.36,Cash,In-Store,EMP889,1,1,Express,8,EUR
ORD135019,01-07-2024,BR75,UK,London,CUST6226,PROD920,Mobile,Samsung Galaxy S23,LG,5,1450.35,0.19,0.18,6931.22,Net Banking,In-Store,EMP864,3,1,Express,1,AED
ORD135020,16-09-2023,BR27,UK,Manchester,CUST2129,PROD164,Mobile,OnePlus 11,OnePlus,1,639.08,0.18,0.18,618.37,UPI,In-Store,EMP439,3,0,Same Day,9,INR
ORD135021,01-01-2023,BR76,UK,Birmingham,CUST7882,PROD281,Tablet,Samsung Galaxy Tab,OnePlus,1,1583.17,0.15,0.18,1587.92,Debit Card,Online,EMP551,2,0,Same Day,4,GBP
ORD135022,29-09-2024,BR38,USA,Chicago,CUST5194,PROD183,TV,Sony Bravia 55,Apple,3,1594.59,0.04,0.18,5419.05,Net Banking,Online,EMP486,0,0,Same Day,1,EUR
ORD135023,14-12-2023,BR39,UAE,Abu Dhabi,CUST6543,PROD416,TV,Samsung QLED 50,Dell,1,88.78,0.26,0.18,77.52,Cash,Online,EMP767,3,1,Standard,5,AED
ORD135024,14-01-2024,BR70,India,Pune,CUST5621,PROD143,TV,Sony Bravia 55,Dell,2,988.21,0.27,0.18,1702.49,Cash,In-Store,EMP221,3,1,Express,7,USD
ORD135025,25-05-2024,BR61,UAE,Dubai,CUST5515,PROD332,TV,LG OLED 48,Lenovo,2,1054.09,0,0.18,2487.65,Debit Card,In-Store,EMP562,0,1,Same Day,5,EUR
ORD135026,31-12-2024,BR115,India,Delhi,CUST3712,PROD276,Mobile,Samsung Galaxy S23,Samsung,4,985.42,0.14,0.18,4000.02,Debit Card,Online,EMP795,1,0,Same Day,2,AED
ORD135027,10-06-2023,BR47,India,Pune,CUST6027,PROD761,Accessories,Wireless Mouse,OnePlus,5,316.02,0.17,0.18,1547.55,Cash,In-Store,EMP265,2,0,Standard,8,INR
ORD135028,03-01-2024,BR27,Germany,Berlin,CUST5640,PROD390,Laptop,MacBook Air M2,Dell,3,658.7,0,0.18,2331.8,Credit Card,In-Store,EMP939,0,1,Express,7,GBP
ORD135029,08-08-2023,BR100,UK,Manchester,CUST8760,PROD333,Mobile,Samsung Galaxy S23,OnePlus,5,454,0.06,0.18,2517.88,Debit Card,Online,EMP292,1,0,Standard,3,USD
ORD135030,11-08-2023,BR114,India,Bangalore,CUST2469,PROD175,Tablet,Samsung Galaxy Tab,HP,3,1672.37,0.04,0.18,5683.38,Net Banking,Online,EMP455,3,1,Express,4,AED
ORD135031,03-09-2023,BR54,UAE,Abu Dhabi,CUST6210,PROD249,Accessories,Keyboard,Sony,4,1693.9,0.1,0.18,7195.69,Debit Card,Online,EMP928,3,0,Standard,8,GBP
ORD135032,05-09-2024,BR12,USA,Los Angeles,CUST5209,PROD699,Tablet,Lenovo Tab P11,LG,4,653.48,0.18,0.18,2529.23,Net Banking,Online,EMP912,2,0,Express,10,USD
ORD135033,23-09-2023,BR80,USA,Dallas,CUST4200,PROD622,Mobile,iPhone 14,Dell,4,802.76,0,0.18,3789.03,UPI,In-Store,EMP454,1,0,Express,6,USD
ORD135034,07-08-2024,BR93,UK,Manchester,CUST5631,PROD780,Mobile,iPhone 14,Lenovo,5,492.01,0.29,0.18,2061.03,Debit Card,Online,EMP382,1,0,Standard,2,EUR
ORD135035,05-05-2024,BR91,India,Delhi,CUST9017,PROD994,Accessories,Wireless Mouse,Samsung,5,877.28,0.08,0.18,4761.88,UPI,Online,EMP229,0,0,Standard,7,USD
ORD135036,30-01-2024,BR98,Germany,Munich,CUST7321,PROD580,Mobile,iPhone 14,HP,1,1305.58,0.13,0.18,1340.31,Net Banking,Online,EMP244,1,1,Same Day,4,AED
ORD135037,04-04-2023,BR93,USA,Dallas,CUST2985,PROD444,Tablet,Samsung Galaxy Tab,OnePlus,4,76.56,0.09,0.18,328.84,Credit Card,In-Store,EMP582,2,0,Same Day,6,INR
ORD135038,03-08-2023,BR35,USA,Dallas,CUST9525,PROD821,Laptop,HP Spectre x360,Samsung,2,1444.62,0.11,0.18,3034.28,Net Banking,In-Store,EMP605,3,1,Same Day,4,USD
ORD135039,20-07-2023,BR13,UAE,Dubai,CUST9792,PROD184,Accessories,Bluetooth Headphones,OnePlus,2,1356.08,0.25,0.18,2400.26,Net Banking,In-Store,EMP236,0,1,Same Day,2,AED
ORD135040,07-01-2024,BR106,UAE,Dubai,CUST4585,PROD157,Accessories,Keyboard,Dell,1,671.92,0.07,0.18,737.37,Debit Card,In-Store,EMP343,2,0,Standard,5,USD
ORD135041,19-09-2023,BR20,UK,Manchester,CUST9367,PROD256,Tablet,iPad Air,LG,5,79.07,0.16,0.18,391.87,Net Banking,Online,EMP686,1,1,Standard,8,USD
ORD135042,13-01-2023,BR112,India,Delhi,CUST1715,PROD361,Laptop,HP Spectre x360,Apple,5,776.75,0,0.18,4582.82,Net Banking,In-Store,EMP453,1,1,Express,2,USD
ORD135043,05-06-2023,BR23,UK,Manchester,CUST8940,PROD689,Tablet,Lenovo Tab P11,HP,1,241.31,0.26,0.18,210.71,Cash,Online,EMP973,1,1,Standard,4,AED
