OrderID,OrderDate,BranchID,Country,City,CustomerID,ProductID,ProductCategory,ProductName,Brand,Quantity,UnitPrice,DiscountRate,TaxRate,TotalAmount,PaymentMethod,SalesChannel,EmployeeID,WarrantyYears,ReturnFlag,ShipmentMode,DeliveryDays,Currency
ORD120001,06-08-2023,BR6,Germany,Berlin,CUST6778,PROD269,Laptop,Dell XPS 13,OnePlus,3,748.7,0.12,0.18,2332.35,UPI,In-Store,EMP367,3,0,Same Day,7,EUR
ORD120002,08-11-2023,BR109,Germany,Berlin,CUST5275,PROD388,Laptop,MacBook Air M2,HP,4,1343.28,0.17,0.18,5262.43,Debit Card,In-Store,EMP337,2,0,Standard,8,GBP
ORD120003,13-12-2023,BR16,USA,New York,CUST3485,PROD893,Laptop,MacBook Air M2,Dell,2,1665.51,0.13,0.18,3419.63,Net Banking,In-Store,EMP294,1,1,Express,7,AED
ORD120004,19-02-2023,BR67,UAE,Abu Dhabi,CUST7779,PROD705,Mobile,Samsung Galaxy S23,OnePlus,2,320.19,0.1,0.18,680.08,Debit Card,In-Store,EMP794,0,0,Express,4,USD
ORD120005,06-01-2024,BR54,Germany,Munich,CUST1184,PROD550,Accessories,Keyboard,LG,4,664.16,0.19,0.18,2539.22,Credit Card,In-Store,EMP377,1,0,Express,8,GBP
ORD120006,08-09-2023,BR27,UAE,Abu Dhabi,CUST1048,PROD688,Tablet,iPad Air,HP,4,1062.39,0.11,0.18,4462.89,Net Banking,Online,EMP236,0,1,Express,8,INR
ORD120007,26-02-2023,BR16,USA,New York,CUST2699,PROD498,Accessories,Bluetooth Headphones,Sony,5,1634.18,0.07,0.18,8966.75,Debit Card,In-Store,EMP479,0,1,Standard,4,GBP
ORD120008,14-11-2024,BR114,UAE,Abu Dhabi,CUST8914,PROD585,Tablet,Lenovo Tab P11,Sony,1,1614.37,0.07,0.18,1771.61,Credit Card,In-Store,EMP991,1,0,Express,7,AED
ORD120009,16-05-2023,BR24,India,Pune,CUST6637,PROD845,TV,Samsung QLED 50,Apple,1,1147.93,0.04,0.18,1300.38,Credit Card,In-Store,EMP974,2,1,Same Day,9,INR
ORD120010,08-05-2023,BR23,USA,Dallas,CUST7504,PROD270,Tablet,iPad Air,Samsung,4,503.57,0.24,0.18,1806.41,UPI,In-Store,EMP254,1,0,Same Day,3,GBP
